Translation File,API Name,Error
Geography__c-es_CO.objectTranslation,Argentina,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Chile,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Colombia,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Ecuador,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Panama,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Peru,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Amazonas,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Ancash,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Antioquia,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Antofagasta,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Apurimac,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Arauca,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Arequipa,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Arica y Parinacota,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Atacama,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Atlántico,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Ayacucho,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Aysén,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Azuay,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Bío Bío,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Bocas del Toro,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Bogotá,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Bolívar,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Boyacá,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Buenos Aires,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Cajamarca,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Caldas,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Callao,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Cañar,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Capitán Prat,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Caquetá,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Carchi,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Casanare,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Catamarca,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Cauca,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Cesar,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Chaco,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Chimborazo,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Chiriquí,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Chocó,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Chubut,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Ciudad de Buenos Aires,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Coclé,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Colón,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Coquimbo,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Córdoba,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Corrientes,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Cotopaxi,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Cundinamarca,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Cusco,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Darién,API name not found in translation file.
Geography__c-es_CO.objectTranslation,El Oro,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Emberá-Wounaan,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Entre Ríos,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Esmeraldas,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Formosa,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Galapagos,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Guainía,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Guaviare,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Guayas,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Guna Yala,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Herrera,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Huancavelica,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Huanuco,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Huila,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Ica,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Imbabura,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Jujuy,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Junin,API name not found in translation file.
Geography__c-es_CO.objectTranslation,La Araucanía,API name not found in translation file.
Geography__c-es_CO.objectTranslation,La Guajira,API name not found in translation file.
Geography__c-es_CO.objectTranslation,La Libertad,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Lambayeque,API name not found in translation file.
Geography__c-es_CO.objectTranslation,La Pampa,API name not found in translation file.
Geography__c-es_CO.objectTranslation,La Rioja,API name not found in translation file.
Geography__c-es_CO.objectTranslation,O'Higgins,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Lima,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Loja,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Loreto,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Los Lagos,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Los Rios,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Los Santos,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Madre De Dios,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Magallanes y la Antártica Chilena,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Magdalena,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Manabi,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Maule,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Mendoza,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Meta,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Metropolitana de Santiago,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Misiones,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Moquegua,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Morona Santiago,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Napo,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Nariño,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Neuquén,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Ngöbe-Buglé,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Norte de Santander,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Ñuble,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Orellana,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Panamá,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Panamá Oeste,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Pasco,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Pastaza,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Pichincha,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Piura,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Puno,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Putumayo,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Quindío,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Río Negro,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Risaralda,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Salta,API name not found in translation file.
Geography__c-es_CO.objectTranslation,San Andrés y Providencia,API name not found in translation file.
Geography__c-es_CO.objectTranslation,San Juan,API name not found in translation file.
Geography__c-es_CO.objectTranslation,San Luis,API name not found in translation file.
Geography__c-es_CO.objectTranslation,San Martin,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Santa Cruz,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Santa Elena,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Santa Fe,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Santander,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Santiago del Estero,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Santo Domingo De Los Tsachilas,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Sucre,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Sucumbios,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Tacna,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Tarapacá,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Tierra del Fuego,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Tolima,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Tucumán,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Tumbes,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Tungurahua,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Ucayali,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Valle del Cauca,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Valparaíso,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Vaupés,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Veraguas,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Vichada,API name not found in translation file.
Geography__c-es_CO.objectTranslation,Zamora Chinchipe,API name not found in translation file.
