Translation File,API Name,Error
Geography__c-es_EC.objectTranslation,Argentina,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Chile,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Colombia,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Ecuador,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Panama,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Peru,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Amazonas,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Ancash,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Antioquia,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Antofagasta,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Apurimac,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Arauca,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Arequipa,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Arica y Parinacota,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Atacama,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Atlántico,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Ayacucho,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Aysén,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Azuay,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Bío Bío,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Bocas del Toro,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Bogotá,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Bolívar,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Boyacá,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Buenos Aires,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Cajamarca,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Caldas,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Callao,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Cañar,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Capitán Prat,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Caquetá,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Carchi,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Casanare,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Catamarca,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Cauca,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Cesar,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Chaco,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Chimborazo,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Chiriquí,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Chocó,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Chubut,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Ciudad de Buenos Aires,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Coclé,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Colón,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Coquimbo,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Córdoba,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Corrientes,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Cotopaxi,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Cundinamarca,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Cusco,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Darién,API name not found in translation file.
Geography__c-es_EC.objectTranslation,El Oro,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Emberá-Wounaan,API name not found in translation file.
Geography__c-es_EC.objectTranslation,Entre Ríos,API name not found in translation file.
