Translation File,API Name,Error
Geography__c-es_PA.objectTranslation,Argentina,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Chile,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Colombia,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Ecuador,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Panama,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Peru,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Amazonas,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Ancash,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Antioquia,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Antofagasta,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Apurimac,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Arauca,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Arequipa,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Arica y Parinacota,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Atacama,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Atlántico,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Ayacucho,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Aysén,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Azuay,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Bío Bío,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Bocas del Toro,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Bogotá,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Bolívar,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Boyacá,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Buenos Aires,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Cajamarca,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Caldas,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Callao,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Cañar,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Capitán Prat,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Caquetá,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Carchi,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Casanare,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Catamarca,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Cauca,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Cesar,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Chaco,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Chimborazo,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Chiriquí,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Chocó,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Chubut,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Ciudad de Buenos Aires,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Coclé,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Colón,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Coquimbo,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Córdoba,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Corrientes,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Cotopaxi,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Cundinamarca,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Cusco,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Darién,API name not found in translation file.
Geography__c-es_PA.objectTranslation,El Oro,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Emberá-Wounaan,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Entre Ríos,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Esmeraldas,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Formosa,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Galapagos,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Guainía,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Guaviare,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Guayas,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Guna Yala,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Herrera,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Huancavelica,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Huanuco,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Huila,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Ica,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Imbabura,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Jujuy,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Junin,API name not found in translation file.
Geography__c-es_PA.objectTranslation,La Araucanía,API name not found in translation file.
Geography__c-es_PA.objectTranslation,La Guajira,API name not found in translation file.
Geography__c-es_PA.objectTranslation,La Libertad,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Lambayeque,API name not found in translation file.
Geography__c-es_PA.objectTranslation,La Pampa,API name not found in translation file.
Geography__c-es_PA.objectTranslation,La Rioja,API name not found in translation file.
Geography__c-es_PA.objectTranslation,O'Higgins,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Lima,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Loja,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Loreto,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Los Lagos,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Los Rios,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Los Santos,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Madre De Dios,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Magallanes y la Antártica Chilena,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Magdalena,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Manabi,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Maule,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Mendoza,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Meta,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Metropolitana de Santiago,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Misiones,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Moquegua,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Morona Santiago,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Napo,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Nariño,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Neuquén,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Ngöbe-Buglé,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Norte de Santander,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Ñuble,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Orellana,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Panamá,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Panamá Oeste,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Pasco,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Pastaza,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Pichincha,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Piura,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Puno,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Putumayo,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Quindío,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Río Negro,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Risaralda,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Salta,API name not found in translation file.
Geography__c-es_PA.objectTranslation,San Andrés y Providencia,API name not found in translation file.
Geography__c-es_PA.objectTranslation,San Juan,API name not found in translation file.
Geography__c-es_PA.objectTranslation,San Luis,API name not found in translation file.
Geography__c-es_PA.objectTranslation,San Martin,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Santa Cruz,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Santa Elena,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Santa Fe,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Santander,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Santiago del Estero,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Santo Domingo De Los Tsachilas,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Sucre,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Sucumbios,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Tacna,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Tarapacá,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Tierra del Fuego,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Tolima,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Tucumán,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Tumbes,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Tungurahua,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Ucayali,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Valle del Cauca,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Valparaíso,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Vaupés,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Veraguas,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Vichada,API name not found in translation file.
Geography__c-es_PA.objectTranslation,Zamora Chinchipe,API name not found in translation file.
