Translation File,API Name,Error
Geography__c-es_PE.objectTranslation,Argentina,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Chile,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Colombia,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Ecuador,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Panama,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Peru,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Amazonas,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Ancash,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Antioquia,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Antofagasta,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Apurimac,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Arauca,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Arequipa,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Arica y Parinacota,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Atacama,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Atlántico,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Ayacucho,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Aysén,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Azuay,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Bío Bío,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Bocas del Toro,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Bogotá,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Bolívar,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Boyacá,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Buenos Aires,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Cajamarca,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Caldas,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Callao,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Cañar,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Capitán Prat,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Caquetá,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Carchi,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Casanare,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Catamarca,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Cauca,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Cesar,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Chaco,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Chimborazo,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Chiriquí,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Chocó,API name not found in translation file.
Geography__c-es_PE.objectTranslation,Chubut,API name not found in translation file.
