Translation File,API Name,Error
Geography__c-pt_BR.objectTranslation,Argentina,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Chile,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Colombia,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Ecuador,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Panama,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Peru,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Amazonas,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Ancash,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Antioquia,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Antofagasta,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Apurimac,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Arauca,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Arequipa,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Arica y Parinacota,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Atacama,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Atlántico,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Ayacucho,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Aysén,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Azuay,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Bío Bío,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Bocas del Toro,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Bogotá,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Bolívar,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Boyacá,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Buenos Aires,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Cajamarca,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Caldas,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Callao,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Cañar,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Capitán Prat,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Caquetá,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Carchi,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Casanare,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Catamarca,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Cauca,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Cesar,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Chaco,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Chimborazo,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Chiriquí,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Chocó,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Chubut,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Ciudad de Buenos Aires,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Coclé,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Colón,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Coquimbo,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Córdoba,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Corrientes,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Cotopaxi,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Cundinamarca,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Cusco,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Darién,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,El Oro,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Emberá-Wounaan,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Entre Ríos,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Esmeraldas,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Formosa,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Galapagos,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Guainía,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Guaviare,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Guayas,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Guna Yala,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Herrera,API name not found in translation file.
Geography__c-pt_BR.objectTranslation,Huancavelica,API name not found in translation file.
