Translation File,API Name,Error
HNS_Products__c-es_PA.objectTranslation,Hosted By,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Managed By,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Connected To,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Consumer,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,SMEBI,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Government,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,VAR,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Franchise,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Large Enterprise,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Marketing Pilot,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Field Pilot,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Feature Restricted,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Volume Restricted,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Customer Specific,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Unrestricted,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Waiting on BG to Provide,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,BYOB,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Cable,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Dedicated ADSL L2,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Dedicated ADSL L3,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Digital Media,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,DSL POTS,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Elearning,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Guest WiFi,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Hx VSAT,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Standard Wireless,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Shared ADSL L2,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Shared ADSL L3,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,T1,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,VADB POTS,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,VOIP,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,SRVC ASSUR STD EXISTING CUST WITH COMMIT,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,SRVC ASSUR STD NEW CUST,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,SRVC ASSUR STD EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,SRVC ASSUR PLUS NEW CUST,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,SRVC ASSUR PLUS EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,SRVC ASSUR PLUS EXISTING CUST WITH COMMI,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,SRVC ASSUR PLUS NEW CUST BUY UP,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,TIME AND MATERIAL,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR HOME WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BUSINESS WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BUSINESS W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BUSINESS WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR HOME,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BUSINESS,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BUSINESS W/O COMMITMENT,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BUSINESS WITH COMMITMENT,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BASIC WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BASIC W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXPRESS REPAIR BASIC WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,2ND BUSINESS DAY ARRIVAL,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,CONTINUOUS COVERAGE,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXTENDED 18 X 7 COVERAGE,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXTENDED COVERAGE,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,EXTENDED PLUS COVERAGE,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,NEXT BUSINESS DAY - FLAT FEE,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,NEXT BUSINESS DAY COVERAGE,API name not found in translation file.
HNS_Products__c-es_PA.objectTranslation,NEXT DAY COVERAGE,API name not found in translation file.
