Translation File,API Name,Error
HNS_Products__c-es_PE.objectTranslation,Hosted By,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Managed By,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Connected To,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Consumer,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,SMEBI,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Government,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,VAR,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Franchise,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Large Enterprise,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Marketing Pilot,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Field Pilot,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Feature Restricted,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Volume Restricted,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Customer Specific,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Unrestricted,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Waiting on BG to Provide,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,BYOB,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Cable,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Dedicated ADSL L2,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Dedicated ADSL L3,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Digital Media,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,DSL POTS,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Elearning,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Guest WiFi,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Hx VSAT,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Standard Wireless,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Shared ADSL L2,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Shared ADSL L3,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,T1,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,VADB POTS,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,VOIP,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,SRVC ASSUR STD EXISTING CUST WITH COMMIT,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,SRVC ASSUR STD NEW CUST,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,SRVC ASSUR STD EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,SRVC ASSUR PLUS NEW CUST,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,SRVC ASSUR PLUS EXISTING CUST NO COMMIT,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,SRVC ASSUR PLUS EXISTING CUST WITH COMMI,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,SRVC ASSUR PLUS NEW CUST BUY UP,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,TIME AND MATERIAL,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR HOME WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BUSINESS WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BUSINESS W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BUSINESS WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR HOME,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR HOME W/O COMMITMENT,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR HOME WITH COMMITMENT,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BUSINESS,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BUSINESS W/O COMMITMENT,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BUSINESS WITH COMMITMENT,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BASIC WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BASIC W/O COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXPRESS REPAIR BASIC WITH COMMITMENT WITH TERM,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,2ND BUSINESS DAY ARRIVAL,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,CONTINUOUS COVERAGE,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXTENDED 18 X 7 COVERAGE,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXTENDED COVERAGE,API name not found in translation file.
HNS_Products__c-es_PE.objectTranslation,EXTENDED PLUS COVERAGE,API name not found in translation file.
