Translation File,API Name,Error
HNS_Products__c-pt_BR.objectTranslation,Hosted By,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Managed By,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Connected To,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Wireline,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,VADB,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Wireless,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Satellite,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,WiFi,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Consumer,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,SMEBI,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Government,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,VAR,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Franchise,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Large Enterprise,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Marketing Pilot,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Field Pilot,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Feature Restricted,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Volume Restricted,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Customer Specific,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Unrestricted,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Spaceway,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Jupiter,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Waiting on BG to Provide,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Active Bonding,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Broadband Remote,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,BYOB,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Cable,API name not found in translation file.
HNS_Products__c-pt_BR.objectTranslation,Dedicated ADSL L2,API name not found in translation file.
