Translation File,API Name,Error
HSVC_Limit_Config__c-es_CL.objectTranslation,Created Date,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Start of Fiscal Quarter,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Start of Month,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Start of Quarter,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Start of Year,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,1,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,2,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,3,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,4,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,5,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,6,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,7,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,8,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,9,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,10,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,11,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,12,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,13,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,14,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,15,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,16,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,17,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,18,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,19,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,20,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,21,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,22,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,23,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,24,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,25,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,26,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,27,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,28,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,29,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,30,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,31,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Days,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Months,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Due Date Change,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Fap Purchase,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Lock Transaction,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Reactivate Transaction,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Reissue Invoice,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Service Upgrade,API name not found in translation file.
HSVC_Limit_Config__c-es_CL.objectTranslation,Exemption Expiry,API name not found in translation file.
