Translation File,API Name,Error
HSvc_AccTrxnReason__c-es_CL.objectTranslation,Colombia,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,Panama,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,Peru,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,Ecuador,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,Chile,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,Argentina,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A01 - Reactivated account,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A02,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A03,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A04,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A05,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A06,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A07,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A08 - Billing Unlock Reactivation,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A100,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A10 - Service Account Activation,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,A152,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C01,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C02,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C03,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C04,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C05,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C06,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C07,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C08,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C09 - Canceled: 09 No Reason Given,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C10,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C11,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C12,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C13,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C14 - Canceled: Ku to Ka Upgrade On Same SAN,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C15,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C150,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C151,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C16,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C17,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C18,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C19,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C20,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C21,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C22 - Decommissioned: 22 Technical Troubleshooting,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C23,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C24 - Canceled: 24 Decommissioned Site Not Reactivated,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C25,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C30,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C31,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C32,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C33,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C34,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C35,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C50 - Used for LUT to Send Collections Cancelation Down,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C51,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C52,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C53,API name not found in translation file.
HSvc_AccTrxnReason__c-es_CL.objectTranslation,C54,API name not found in translation file.
