Translation File,API Name,Error
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Colombia,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Panama,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Peru,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Ecuador,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Chile,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Argentina,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Consumer,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,ConsumerVAR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Enterprise,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Monthly,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Quarterly,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Yearly,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Hughes - Brazil - B2C - CSM,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Hughes - Brazil - B2C - CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,INT Admin,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,INT Admin Plus,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Hughes - CSM,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Hughes - CSM Enterprise,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Hughes - CSM Consumer,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,System Administrator,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Default,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Service Provider - CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Service Provider Admin ( Customer Community Plus Login),API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Yahsat Admin,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Service Provider - Read only,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,SP Distributor - Admin,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,SP Distributor - CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,SP Distributor - Read only,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,SPCustomer,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,SPEnterprise,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Yahsat - Read Only,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Tier 3 CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Yahsat CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,INT CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,INT CSM,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,VAR Partner Admin,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A01 - Reactivated account,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A02,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A03,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A04,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A05,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A06,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A07,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A08 - Billing Unlock Reactivation,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A100,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A10 - Service Account Activation,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,A152,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C01,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C02,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C03,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C04,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C05,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C06,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C07,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C08,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C09 - Canceled: 09 No Reason Given,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C10,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C11,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C12,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C13,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C14 - Canceled: Ku to Ka Upgrade On Same SAN,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C15,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C150,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C151,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C16,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C17,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C18,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C19,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C20,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C21,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C22 - Decommissioned: 22 Technical Troubleshooting,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C23,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C24 - Canceled: 24 Decommissioned Site Not Reactivated,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C25,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C30,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C31,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C32,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C33,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C34,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C35,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C50 - Used for LUT to Send Collections Cancelation Down,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C51,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C52,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C53,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C54,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C55,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C56,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C57,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C59,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C60 - Canceled: 60 Requested Immediate Termination,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C61,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C62 - Canceled: 62 Customer Migration,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C70,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C71,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C72 - Canceled: 72 Customer (End User),API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C73,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C74,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C75,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C76,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C77,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C80 - Internal: 80 Quality Card,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C89,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C90,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C91,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C92,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,C99,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I00,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I152,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I50 - Collections: I50 Locked By Collection Monitor,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I51 - Locked: 51 Potential Identity Theft,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I52 - Locked: 52 Rejected or Disputed Payment,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I53 - Locked: 53 Customer Requested Lock,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,"I54 - Locked/Canceled: 54 Misconduct (Inactive=Lock,Closed=Cancel)",API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I55 - Locked: 55 Virus,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,"I56 - Seasonal Suspension: 56 (Inactive=Suspend, Closed=Cancel)",API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I57 - Canceled: 72 Customer (End User),API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I57 - Canceled: 72 Customer (End User) / Grace Period / Locked: 61 Stop Billing Termination Pending,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I58 - Locked: 58 Misconduct - Excessive Payment Methods,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I59 - Locked: 59 Misconduct - Excessive Payment Reversals,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I60,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I88,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I91 - Locked: 91 Bankruptcy,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I92 - Locked: 92 Identity Theft Multiple Countries,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I93 - Locked: 93 Identity Theft Multiple Stolen,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I94 - Locked: 94 Identity Theft Unauthorized Use Of Information,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I95 - Locked: 95 Identity Theft Multiple Fraud Disputes,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I96 - Locked: 96 Identify Theft Invalid Credit Card,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,I97 - Locked: 97 Activated in Unauthorized Region,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_CO.objectTranslation,Internal: 89 CSR Access Removed,API name not found in translation file.
