Translation File,API Name,Error
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Colombia,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Panama,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Peru,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Ecuador,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Chile,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Argentina,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Consumer,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,ConsumerVAR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Enterprise,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Monthly,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Quarterly,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Yearly,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Hughes - Brazil - B2C - CSM,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Hughes - Brazil - B2C - CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,INT Admin,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,INT Admin Plus,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Hughes - CSM,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Hughes - CSM Enterprise,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Hughes - CSM Consumer,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,System Administrator,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Default,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Service Provider - CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Service Provider Admin ( Customer Community Plus Login),API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Yahsat Admin,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Service Provider - Read only,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,SP Distributor - Admin,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,SP Distributor - CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,SP Distributor - Read only,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,SPCustomer,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,SPEnterprise,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Yahsat - Read Only,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Tier 3 CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,Yahsat CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,INT CSR,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,INT CSM,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,VAR Partner Admin,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,A01 - Reactivated account,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,A02,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,A03,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,A04,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,A05,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,A06,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,A07,API name not found in translation file.
HSvc_AccountTransactionCodeMaster__c-es_PA.objectTranslation,A08 - Billing Unlock Reactivation,API name not found in translation file.
