Translation File,API Name,Error
HSvc_AccountTransaction__c-es_CL.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Sample,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,DI,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Pending,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Submitted,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Pending Confirmation,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,To be processed,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Canceled,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Failed,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Processing,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_CL.objectTranslation,Failed,API name not found in translation file.
