Translation File,API Name,Error
HSvc_AccountTransaction__c-es_PA.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,ESM,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,BEN,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Sample,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,DI,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Pending,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Submitted,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Pending Confirmation,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,To be processed,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Canceled,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Failed,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Processing,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Completed,API name not found in translation file.
HSvc_AccountTransaction__c-es_PA.objectTranslation,Failed,API name not found in translation file.
