Translation File,API Name,Error
HSvc_Billing_Identity__c-es_CL.objectTranslation,Chilean Tax Identification Number (RUT),API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Citizenship Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Foreigner ID,API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Peru National Identity Document (DNI),API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Peru Tax Identification Number (RUC),API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Tax Identification Number (NIT),API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Ecuador Foreigner Id,API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Peru Foreigner ID (CE),API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Ecuador Citizenship Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Chilean Identity Card (RUN),API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Voting Card,API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Passport,API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Driver License,API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Ecuador Tax Identification Number (RUC) Legal Person,API name not found in translation file.
HSvc_Billing_Identity__c-es_CL.objectTranslation,Ecuador Tax Identification Number (RUC) Natural Person,API name not found in translation file.
