Translation File,API Name,Error
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Accept Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Ack customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Acknowledge customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Added,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Address bandwidth,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Adjust appointment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Adjust browser settings,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Adjust due date,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Adjust service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Advise PC clean up,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Application restart,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Apply adjustment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Apply credits,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Apply extension,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Apply payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Apply Token(s) from bank,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Apply tokens,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Begin prov new service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Cancel account,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Change,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Communicate to customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,communicate to PM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Complete investigate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Complete report,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Complete research,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Contact customer address,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Corrected Configuration,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Corrected Connections,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Correct Routes,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Could not complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Create Order,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Create RMA request,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Customer Clear Obstruction,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Customer Ed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Customer to replace cables,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Customer Will Configure,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Customer Will Correct,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Dispatch,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Email customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Escalate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Escalated,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Escalate to NMC,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Explain charges,API name not found in translation file.
HSvc_CaseCreationRules__c-es_AR.objectTranslation,Explained,API name not found in translation file.
