Translation File,API Name,Error
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Accept Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Ack customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Acknowledge customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Added,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Address bandwidth,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Adjust appointment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Adjust browser settings,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Adjust due date,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Adjust service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Advise PC clean up,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Application restart,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Apply adjustment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Apply credits,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Apply extension,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Apply payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Apply Token(s) from bank,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Apply tokens,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Begin prov new service,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Cancel account,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Cancelled,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Change,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Communicate to customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,communicate to PM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Complete investigate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Complete report,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Complete research,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Considering,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Contact customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Contact customer address,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Contacted,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Corrected Configuration,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Corrected Connections,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Correct Routes,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Could not complete,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Create Order,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Create RMA request,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Customer Clear Obstruction,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Customer Ed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Customer to replace cables,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Customer Will Configure,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Customer Will Correct,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Dispatch,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Email customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Escalate,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Escalated,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Escalate to NMC,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Explain charges,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Explained,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Fixed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Fix in CRM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Fix in DSS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Fix in EMS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Fix in NMP,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Follow on action,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Follow-up and Monitor,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Inform customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Inform Field services team,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Inform Hughes CS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Inform Installation team,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Inform PM,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Issue Adjustment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Issue Order,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Left Message,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Load sheet,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Monitoring,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Monitor Outage,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Move Dish,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,No Answer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Not Processed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Other (Explain in Notes),API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Pending,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Pending Account holder,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Pending Cancel,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Pending Not Account holder,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process Approval,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process Cancellation,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process change,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process decommission,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Processed,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process Full Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process or send email,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process Partial Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process Payment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Process prequal,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Provide customer correct information,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Provided Information,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Provide information details,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Purchase Token(s),API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Readjust appointment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Receive manually,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Reconcile,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Reconnect,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer back to customer,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Referred to 3rd Party,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to 3rd Party,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to application provider,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to Billing,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to HNS,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to Installation,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to NMC,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to PIP,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to provider,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Refer to Retention,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Reject,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Reject request,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Reload configuration,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Remove 3rd Party Equipment,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Remove lock,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Replace,API name not found in translation file.
HSvc_CaseCreationRules__c-es_PE.objectTranslation,Replace Cable,API name not found in translation file.
