Translation File,API Name,Error
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Agent Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Customer Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Consult,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,STOP,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,ETA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Case Creation,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,TP Monterrey MOD,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,TP Monterrey Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,SDG Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,South America Control Center,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Hughes Colombia Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Hughes Panama Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,SDG Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,TP Monterrey MOD Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Hughes de Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Hughes de Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Hughes de Ecuador,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Hughes de Chile,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Hughes de Peru,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Hughes de Corporate(HQ),API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Ent SA Frontline,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Ent SA Field Support,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Ent SA Control Desk,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Ent SA Business Analyst,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,RMA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_AR.objectTranslation,Office Only,API name not found in translation file.
