Translation File,API Name,Error
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Agent Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Customer Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Consult,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,STOP,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,ETA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Case Creation,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,TP Monterrey MOD,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,TP Monterrey Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,SDG Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,South America Control Center,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Hughes Colombia Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Hughes Panama Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,SDG Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,TP Monterrey MOD Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Hughes de Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Hughes de Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Hughes de Ecuador,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Hughes de Chile,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Hughes de Peru,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Hughes de Corporate(HQ),API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Ent SA Frontline,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Ent SA Field Support,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Ent SA Control Desk,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Ent SA Business Analyst,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,RMA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_CO.objectTranslation,Office Only,API name not found in translation file.
