Translation File,API Name,Error
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Agent Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Customer Note,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Consult,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,STOP,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,ETA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Case Creation,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,TP Monterrey MOD,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,TP Monterrey Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,SDG Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,South America Control Center,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Hughes Colombia Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Universal,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Hughes Panama Distributor,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,SDG Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,TP Monterrey MOD Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Hughes de Colombia,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Hughes de Panama,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Hughes de Ecuador,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Hughes de Chile,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Hughes de Peru,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Hughes de Corporate(HQ),API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Ent SA Frontline,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Ent SA Field Support,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Ent SA Control Desk,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Ent SA Business Analyst,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,RMA,API name not found in translation file.
HSvc_QuickNotesTemplates__c-es_EC.objectTranslation,Office Only,API name not found in translation file.
