Translation File,API Name,Error
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,RMA,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,Business Support Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,Office Only,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,Sample,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,TNF – Cancelled Service,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_AR.objectTranslation,TNF – Customer Accepted,API name not found in translation file.
