Translation File,API Name,Error
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,RMA,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,Business Support Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,Office Only,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,Sample,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,TNF – Cancelled Service,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_CO.objectTranslation,TNF – Customer Accepted,API name not found in translation file.
