Translation File,API Name,Error
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,B2B General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,B2C General Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,Repair Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,Install Work Order,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,RMA,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,Business Support Case,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,Office Only,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,Sample,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,TNF – Cancelled Service,API name not found in translation file.
HSvc_ResolutionCodeRule__c-es_PE.objectTranslation,TNF – Customer Accepted,API name not found in translation file.
