Translation File,API Name,Error
HSvc_SpecialInstructions__c-es_AR.objectTranslation,SME_CHANNEL SALES,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Reseller,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Prospect,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Partner,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Activate service,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Adjustments not applied,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Apply adjustments,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Bad Number,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Callback,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Call Back,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Cancelled,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Considering,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Contacted,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,De-install Equipment,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Dispatch Tech,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Educated Customer,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Escalate,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Escalated to Hughes,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Escalated to SIC,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Escalated to Supervisor,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Give Courtesy Token(s),API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Inform customer,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Inform management Customer Service Hughes,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Inform management Field Service Hughes,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Install - Escalate,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Install - Updated,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Left Message,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Located,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,No Answer,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Not located,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Not Updated,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Prioritize dispatch tech,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Process,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Process Cancellation,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Purchase Token(s),API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Recurring Payments,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Refer to Retention,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Repair - Escalate,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Repair Site,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Repair - Updated,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Report Issue to Control Desk/NMC,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Request call recording,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Resolved,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Retain Customer No Credit,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Retain Customer with Credit,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Saved,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Survey Accomplish,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,System Generated,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Truckroll,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Updated,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Wait for New Allowance,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Agent Note,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Customer Note,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Consult,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Escalation by Customer,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Customer Escalation Response,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Inbound Email,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Outbound Email,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Case Creation,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,ARRIVAL,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,STOP,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,ETA,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,CLOSURE,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Information,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Complaint,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Request,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,3rd party Device Issue,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Account Issue,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Account Name (Misspelling),API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Account Ownership Change,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Activate new service,API name not found in translation file.
HSvc_SpecialInstructions__c-es_AR.objectTranslation,Agent Callback,API name not found in translation file.
