Translation File,API Name,Error
Location_Order__c-es_AR.objectTranslation,New,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Modify,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Cancel,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Upgrade,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Terminate,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Repair,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Seasonal Suspension,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,De-Install,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,FAP Purchase,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Web,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Phone,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,IVR,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,OPS,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Not Verified,API name not found in translation file.
Location_Order__c-es_AR.objectTranslation,Partially Verified,API name not found in translation file.
