Translation File,API Name,Error
Location_Order__c-es_EC.objectTranslation,New,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Modify,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Cancel,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Upgrade,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Terminate,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Repair,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Seasonal Suspension,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,De-Install,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,FAP Purchase,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Web,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Phone,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,IVR,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,OPS,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Not Verified,API name not found in translation file.
Location_Order__c-es_EC.objectTranslation,Partially Verified,API name not found in translation file.
