Translation File,API Name,Error
Location_Order__c-es_PE.objectTranslation,New,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Modify,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Cancel,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Upgrade,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Terminate,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Repair,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Seasonal Suspension,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,De-Install,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,FAP Purchase,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Web,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Phone,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,IVR,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,OPS,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Not Verified,API name not found in translation file.
Location_Order__c-es_PE.objectTranslation,Partially Verified,API name not found in translation file.
