Translation File,API Name,Error
Location_Order__c-pt_BR.objectTranslation,New,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Modify,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Cancel,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Upgrade,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Terminate,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Repair,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Seasonal Suspension,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,De-Install,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,FAP Purchase,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Web,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Phone,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,IVR,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,OPS,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Not Verified,API name not found in translation file.
Location_Order__c-pt_BR.objectTranslation,Partially Verified,API name not found in translation file.
