Translation File,API Name,Error
Location_Order__c-pt_PT.objectTranslation,New,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Modify,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Cancel,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Upgrade,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Terminate,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Repair,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Seasonal Suspension,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,De-Install,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,FAP Purchase,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Visa,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,MasterCard,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Cabal,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Web,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Phone,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,IVR,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,OPS,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,New Construction,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Street Match Not Found,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,City/Zip Match Not Found,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Verified,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Not Verified,API name not found in translation file.
Location_Order__c-pt_PT.objectTranslation,Partially Verified,API name not found in translation file.
