Translation File,API Name,Error
Offers__c-es_CO.objectTranslation,Consumer,API name not found in translation file.
Offers__c-es_CO.objectTranslation,SOHO,API name not found in translation file.
Offers__c-es_CO.objectTranslation,CSR,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Partner Portal,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Self-Care Portal,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Self-Ordering Website,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Gateway,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Procera,API name not found in translation file.
Offers__c-es_CO.objectTranslation,FAP,API name not found in translation file.
Offers__c-es_CO.objectTranslation,New,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Upgrade,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Purchase,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Regular Lease,API name not found in translation file.
Offers__c-es_CO.objectTranslation,All,API name not found in translation file.
Offers__c-es_CO.objectTranslation,R1,API name not found in translation file.
Offers__c-es_CO.objectTranslation,R2,API name not found in translation file.
Offers__c-es_CO.objectTranslation,R3,API name not found in translation file.
Offers__c-es_CO.objectTranslation,R4,API name not found in translation file.
Offers__c-es_CO.objectTranslation,R5,API name not found in translation file.
Offers__c-es_CO.objectTranslation,1,API name not found in translation file.
Offers__c-es_CO.objectTranslation,2,API name not found in translation file.
Offers__c-es_CO.objectTranslation,3,API name not found in translation file.
Offers__c-es_CO.objectTranslation,4,API name not found in translation file.
Offers__c-es_CO.objectTranslation,5,API name not found in translation file.
Offers__c-es_CO.objectTranslation,6,API name not found in translation file.
Offers__c-es_CO.objectTranslation,22,API name not found in translation file.
Offers__c-es_CO.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Offers__c-es_CO.objectTranslation,Moderate Uploads/Downloads Use,API name not found in translation file.
Offers__c-es_CO.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
