Translation File,API Name,Error
Offers__c-es_PA.objectTranslation,Consumer,API name not found in translation file.
Offers__c-es_PA.objectTranslation,SOHO,API name not found in translation file.
Offers__c-es_PA.objectTranslation,CSR,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Partner Portal,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Self-Care Portal,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Self-Ordering Website,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Gateway,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Procera,API name not found in translation file.
Offers__c-es_PA.objectTranslation,FAP,API name not found in translation file.
Offers__c-es_PA.objectTranslation,New,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Upgrade,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Purchase,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Regular Lease,API name not found in translation file.
Offers__c-es_PA.objectTranslation,All,API name not found in translation file.
Offers__c-es_PA.objectTranslation,R1,API name not found in translation file.
Offers__c-es_PA.objectTranslation,R2,API name not found in translation file.
Offers__c-es_PA.objectTranslation,R3,API name not found in translation file.
Offers__c-es_PA.objectTranslation,R4,API name not found in translation file.
Offers__c-es_PA.objectTranslation,R5,API name not found in translation file.
Offers__c-es_PA.objectTranslation,1,API name not found in translation file.
Offers__c-es_PA.objectTranslation,2,API name not found in translation file.
Offers__c-es_PA.objectTranslation,3,API name not found in translation file.
Offers__c-es_PA.objectTranslation,4,API name not found in translation file.
Offers__c-es_PA.objectTranslation,5,API name not found in translation file.
Offers__c-es_PA.objectTranslation,6,API name not found in translation file.
Offers__c-es_PA.objectTranslation,22,API name not found in translation file.
Offers__c-es_PA.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Offers__c-es_PA.objectTranslation,Moderate Uploads/Downloads Use,API name not found in translation file.
Offers__c-es_PA.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
