Translation File,API Name,Error
Offers__c-es_PE.objectTranslation,Consumer,API name not found in translation file.
Offers__c-es_PE.objectTranslation,SOHO,API name not found in translation file.
Offers__c-es_PE.objectTranslation,CSR,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Partner Portal,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Self-Care Portal,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Self-Ordering Website,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Gateway,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Procera,API name not found in translation file.
Offers__c-es_PE.objectTranslation,FAP,API name not found in translation file.
Offers__c-es_PE.objectTranslation,New,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Upgrade,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Purchase,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Regular Lease,API name not found in translation file.
Offers__c-es_PE.objectTranslation,All,API name not found in translation file.
Offers__c-es_PE.objectTranslation,R1,API name not found in translation file.
Offers__c-es_PE.objectTranslation,R2,API name not found in translation file.
Offers__c-es_PE.objectTranslation,R3,API name not found in translation file.
Offers__c-es_PE.objectTranslation,R4,API name not found in translation file.
Offers__c-es_PE.objectTranslation,R5,API name not found in translation file.
Offers__c-es_PE.objectTranslation,1,API name not found in translation file.
Offers__c-es_PE.objectTranslation,2,API name not found in translation file.
Offers__c-es_PE.objectTranslation,3,API name not found in translation file.
Offers__c-es_PE.objectTranslation,4,API name not found in translation file.
Offers__c-es_PE.objectTranslation,5,API name not found in translation file.
Offers__c-es_PE.objectTranslation,6,API name not found in translation file.
Offers__c-es_PE.objectTranslation,22,API name not found in translation file.
Offers__c-es_PE.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Offers__c-es_PE.objectTranslation,Moderate Uploads/Downloads Use,API name not found in translation file.
Offers__c-es_PE.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
