Translation File,API Name,Error
Offers__c-pt_BR.objectTranslation,Consumer,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,SOHO,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,CSR,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Partner Portal,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Self-Care Portal,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Self-Ordering Website,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Gateway,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Procera,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,FAP,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,New,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Upgrade,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Purchase,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Regular Lease,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,All,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,R1,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,R2,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,R3,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,R4,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,R5,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,1,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,2,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,3,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,4,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,5,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,6,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,22,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Moderate Uploads/Downloads Use,API name not found in translation file.
Offers__c-pt_BR.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
