Translation File,API Name,Error
Order_Offer__c-en_US.objectTranslation,New,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,Upgrade,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,Cancel,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,Modify,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,Terminate,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,Repair,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,Seasonal Suspension,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,ConsumerVAR,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,Residential,API name not found in translation file.
Order_Offer__c-en_US.objectTranslation,SME,API name not found in translation file.
