Translation File,API Name,Error
Order_Offer__c-es_CO.objectTranslation,New,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,Upgrade,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,Cancel,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,Modify,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,Terminate,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,Repair,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,Seasonal Suspension,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,ConsumerVAR,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,Residential,API name not found in translation file.
Order_Offer__c-es_CO.objectTranslation,SME,API name not found in translation file.
