Translation File,API Name,Error
Order_Offer__c-es_PA.objectTranslation,New,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,Upgrade,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,Cancel,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,Modify,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,Terminate,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,Repair,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,Seasonal Suspension,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,ConsumerVAR,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,Residential,API name not found in translation file.
Order_Offer__c-es_PA.objectTranslation,SME,API name not found in translation file.
