Translation File,API Name,Error
Order_Offer__c-pt_BR.objectTranslation,New,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,Upgrade,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,Cancel,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,Modify,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,Terminate,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,Repair,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,Seasonal Suspension,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,ConsumerVAR,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,Residential,API name not found in translation file.
Order_Offer__c-pt_BR.objectTranslation,SME,API name not found in translation file.
