Translation File,API Name,Error
Questionnaire_for_Offers__c-es_CL.objectTranslation,Competition - cable or dsl,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Fair Access Policy,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Monthly service is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Equipment is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Service does not meet needs,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Why should I switch from Dialup?,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Mailer,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Referral Program,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Online,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Word of mouth,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,TV,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Walk-in,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Newspaper Ad,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Radio,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Yard Sign,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Streaming Video,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,VoIP,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Videoconferencing,API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Moderate uploads/downloads (good for multi-PC household),API name not found in translation file.
Questionnaire_for_Offers__c-es_CL.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
