Translation File,API Name,Error
Questionnaire_for_Offers__c-es_CO.objectTranslation,Competition - cable or dsl,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Fair Access Policy,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Monthly service is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Equipment is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Service does not meet needs,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Why should I switch from Dialup?,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Mailer,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Referral Program,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Online,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Word of mouth,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,TV,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Walk-in,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Newspaper Ad,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Radio,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Yard Sign,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Streaming Video,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,VoIP,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Videoconferencing,API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Moderate uploads/downloads (good for multi-PC household),API name not found in translation file.
Questionnaire_for_Offers__c-es_CO.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
