Translation File,API Name,Error
Questionnaire_for_Offers__c-es_EC.objectTranslation,Competition - cable or dsl,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Fair Access Policy,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Monthly service is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Equipment is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Service does not meet needs,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Why should I switch from Dialup?,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Mailer,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Referral Program,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Online,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Word of mouth,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,TV,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Walk-in,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Newspaper Ad,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Radio,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Yard Sign,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Streaming Video,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,VoIP,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Videoconferencing,API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Moderate uploads/downloads (good for multi-PC household),API name not found in translation file.
Questionnaire_for_Offers__c-es_EC.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
