Translation File,API Name,Error
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Competition - cable or dsl,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Fair Access Policy,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Monthly service is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Equipment is too expensive,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Service does not meet needs,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Why should I switch from Dialup?,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Mailer,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Referral Program,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Online,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Word of mouth,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,TV,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Walk-in,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Newspaper Ad,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Radio,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Yard Sign,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Other,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Streaming Video,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,VoIP,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Videoconferencing,API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,"Basic browsing, photo sharing and social networking",API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Moderate uploads/downloads (good for multi-PC household),API name not found in translation file.
Questionnaire_for_Offers__c-pt_BR.objectTranslation,Heavy uploads/downloads,API name not found in translation file.
