Translation File,API Name,Error
YAHS_BroadcastMessage__c-es_AR.objectTranslation,General,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Service Impact,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,20,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,38,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,47,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,115,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,121,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Roseburg,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Billings,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Albuquerque,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Santa Clara,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Seattle,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,ROS,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,BIL,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,ALB,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,STC,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,SEA,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Display to SP and Customer,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Display to SP Only,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,SP ONLY,API name not found in translation file.
YAHS_BroadcastMessage__c-es_AR.objectTranslation,Display to Customer of SP/Distributor Only,API name not found in translation file.
