Translation File,API Name,Error
YAHS_BroadcastMessage__c-es_CL.objectTranslation,General,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Service Impact,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,20,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,38,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,47,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,115,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,121,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Roseburg,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Billings,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Albuquerque,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Santa Clara,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Seattle,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,ROS,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,BIL,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,ALB,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,STC,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,SEA,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Display to SP and Customer,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Display to SP Only,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,SP ONLY,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CL.objectTranslation,Display to Customer of SP/Distributor Only,API name not found in translation file.
