Translation File,API Name,Error
YAHS_BroadcastMessage__c-es_CO.objectTranslation,General,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Service Impact,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,20,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,38,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,47,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,115,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,121,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Roseburg,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Billings,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Albuquerque,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Santa Clara,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Seattle,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,ROS,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,BIL,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,ALB,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,STC,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,SEA,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Display to SP and Customer,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Display to SP Only,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,SP ONLY,API name not found in translation file.
YAHS_BroadcastMessage__c-es_CO.objectTranslation,Display to Customer of SP/Distributor Only,API name not found in translation file.
