Translation File,API Name,Error
YAHS_BroadcastMessage__c-es_EC.objectTranslation,General,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Service Impact,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,20,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,38,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,47,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,115,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,121,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Roseburg,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Billings,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Albuquerque,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Santa Clara,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Seattle,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,ROS,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,BIL,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,ALB,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,STC,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,SEA,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Display to SP and Customer,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Display to SP Only,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,SP ONLY,API name not found in translation file.
YAHS_BroadcastMessage__c-es_EC.objectTranslation,Display to Customer of SP/Distributor Only,API name not found in translation file.
