Translation File,API Name,Error
Account-es_CL.objectTranslation,AccountSource,API name not found in translation file.
Account-es_CL.objectTranslation,Account_SAN__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Account_Type__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Area_of_Operation__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_ABA_Routing_Number__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_Account_Number__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_Address1__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_Address2__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_Branch__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_City__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_Country__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_Name__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_State__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Bank_Zip__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Barcode__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Beneficiary_Name_on_Bank_Account__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Billing_Address_County__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Billing_Address_full__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Billing_Barcode__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,CNPJ__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,CPF__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,CRM_PS_Company_BO_ID__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Call_Center__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Communication_Channel__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Communication_Via__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Company_Type__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Contract_Status__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,County__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Credit_Verification_Status__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Customer_Location_ID__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,DBA_Name__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Date_Added_to_Vantive__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Date_Established__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Date_Incorporated__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Display_App_Usage__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Distributor_Account__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Distributor__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Extra_Account_Phone_Info__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Extra_Fax_Info__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,HSvc_BusinessModel__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,HughesNet_Relationship__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Hughes_Store_Order_Shipped__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Location_Status__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Locations_Parent_HNS_Company_ID_del__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,New_Construction__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,PartnerId__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Partner_Type__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Payment_Method__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Primary_Contact__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Record_Type_Name__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,SAP_Sold_To__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,SP_Price_Book__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Sales_Org__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Satisfaction_Status__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Shipping_Address_full__c,Value commented/not found in translation file.
Account-es_CL.objectTranslation,Type,API name not found in translation file.
