Translation File,API Name,Error
Account-es_CO.objectTranslation,AccountSource,API name not found in translation file.
Account-es_CO.objectTranslation,Account_SAN__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_ABA_Routing_Number__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_Account_Number__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_Address1__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_Address2__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_Branch__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_City__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_Country__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_Name__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_State__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Bank_Zip__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Barcode__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Beneficiary_Name_on_Bank_Account__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Billing_Address_County__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Billing_Address_full__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Billing_Barcode__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,CNPJ__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,CPF__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,CRM_PS_Company_BO_ID__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Call_Center__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Communication_Channel__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Communication_Via__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Contract_Status__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,County__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Credit_Verification_Status__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,DBA_Name__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Date_Added_to_Vantive__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Date_Established__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Date_Incorporated__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Display_App_Usage__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Distributor_Account__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Distributor__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,HSvc_BusinessModel__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,HughesNet_Relationship__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Hughes_Store_Order_Shipped__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Locations_Parent_HNS_Company_ID_del__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,New_Construction__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Partner_Type__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Primary_Contact__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Record_Type_Name__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,SAP_Sold_To__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,SP_Price_Book__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Sales_Org__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Satisfaction_Status__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Shipping_Address_full__c,Value commented/not found in translation file.
Account-es_CO.objectTranslation,Type,API name not found in translation file.
