Translation File,API Name,Error
Account-es_EC.objectTranslation,AccountSource,API name not found in translation file.
Account-es_EC.objectTranslation,Account_SAN__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Account_Type__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Area_of_Operation__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_ABA_Routing_Number__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_Account_Number__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_Address1__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_Address2__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_Branch__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_City__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_Country__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_Name__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_State__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Bank_Zip__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Barcode__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Beneficiary_Name_on_Bank_Account__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Billing_Address_County__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Billing_Address_full__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Billing_Barcode__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,CNPJ__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,CPF__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,CRM_PS_Company_BO_ID__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Call_Center__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Communication_Channel__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Communication_Via__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Company_Type__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Contract_Status__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,County__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Credit_Verification_Status__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Customer_Location_ID__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,DBA_Name__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Date_Added_to_Vantive__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Date_Established__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Date_Incorporated__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Display_App_Usage__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Distributor_Account__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Distributor__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Extra_Account_Phone_Info__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Extra_Fax_Info__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,HSvc_BusinessModel__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,HughesNet_Relationship__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Hughes_Store_Order_Shipped__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Location_Status__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Locations_Parent_HNS_Company_ID_del__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,New_Construction__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,PartnerId__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Partner_Type__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Payment_Method__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Primary_Contact__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Record_Type_Name__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,SAP_Sold_To__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,SP_Price_Book__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Sales_Org__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Satisfaction_Status__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Shipping_Address_full__c,Value commented/not found in translation file.
Account-es_EC.objectTranslation,Type,API name not found in translation file.
