Translation File,API Name,Error
Asset-es_AR.objectTranslation,ACS_Site_ID__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Access_Hours__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Asset_Supported_By__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Asset_Type__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Associated_Networks__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Backup_NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Backup_NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Backup_NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Backup_NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Barcode__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,CV_Site_ID__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Channel_ID__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Checkdigit__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Circuit_ID__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Courtesy_Warranty_End_Date__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Customer_Program__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Customer_Region__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Customer_Site_Id__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,DMN_Vendor_Name__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,DSS_Order_ID__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Data_Center__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Deregister_date__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Downlink_Cellid__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Downlink_Speed__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,ESRI_Latitude__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,ESRI_Longitude__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Extented_Trial_Period_Date__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,FAP_Plan_ID__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Failover_Hub__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Free_Dispatch_End_Date__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,HAN_Config__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,HAN_Type__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,HDEVNAME__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,HNS_Level__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,HUB_Site_Id__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Home_AGW_Name__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Home_HUB_Id__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Hughes_Asset_ID__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,ISP_AGW_Name__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,ISP_HUB_Id__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Is_Self_Installed__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,LAN1_IP_Address__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,LAN1_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,LAN2_IP_Address__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,LAN2_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Latest_Commission_Date__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Latitude__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Longitude__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,MAC_Address__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Management_IP_Address__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,Modem_Number__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAD_Business_Group__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAP_Order_Number__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAP_PPP_Password__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAP_PPP_Username__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAT_IP__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NAT_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_AR.objectTranslation,NOCC_Latitude__c,Value commented/not found in translation file.
