Translation File,API Name,Error
Asset-es_CO.objectTranslation,ACS_Site_ID__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Access_Hours__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Asset_Supported_By__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Asset_Type__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Associated_Networks__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Backup_NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Backup_NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Backup_NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Backup_NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Barcode__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,CV_Site_ID__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Channel_ID__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Checkdigit__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Circuit_ID__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Courtesy_Warranty_End_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Customer_Program__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Customer_Region__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Customer_Site_Id__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,DMN_Vendor_Name__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,DSS_Order_ID__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Data_Center__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Deregister_date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Downlink_Cellid__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Downlink_Speed__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,ESRI_Latitude__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,ESRI_Longitude__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Extented_Trial_Period_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,FAP_Plan_ID__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Failover_Hub__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Free_Dispatch_End_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Gateway_Name__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,HAN_Config__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,HAN_Type__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,HDEVNAME__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,HNS_Level__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,HUB_Site_Id__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Home_AGW_Name__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Home_HUB_Id__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Hughes_Asset_ID__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,ISP_AGW_Name__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,ISP_HUB_Id__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Is_Self_Installed__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,LAN1_IP_Address__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,LAN1_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,LAN2_IP_Address__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,LAN2_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Latest_Commission_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Latitude__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Longitude__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,MAC_Address__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Management_IP_Address__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Modem_Number__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAD_Business_Group__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAP_Order_Number__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAP_PPP_Password__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAP_PPP_Username__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAT_IP__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NAT_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NOCC_Latitude__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NOCC_Longitude__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NPR_IP__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,NPR_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,On_premise_Central_DB_ID__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Organization__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,PEP_Max_Downstream__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,PEP_Max_Upstream__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Payment_Code__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Primary_Hub__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Profile_Group__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Provider_SLA__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Register_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Relationship_Start_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Renewal_End_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,ST_Name__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,SWAP_Auth_Code__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Satellite__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Shipment_Carrier__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Shipment_Tracking_Number__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Site_Category__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Software_Version__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Status_Reason_Code_Change_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Status_Reason_Code_Description__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Status_Reason_Code__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,TOG__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Terminal_Activation_date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Transponder__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Unit_of_Measure__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Uplink_Cellid__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Uplink_Speed__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,VADB_Backup_Phone__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,VADB_Enable__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,VADB_Primary_Phone__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,VPGW__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Warranty_Commitment_Term_End_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Warranty_Effective_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Warranty_Expiry_Date__c,Value commented/not found in translation file.
Asset-es_CO.objectTranslation,Warranty_Vesting_Period_End_Date__c,Value commented/not found in translation file.
