Translation File,API Name,Error
Asset-es_EC.objectTranslation,ACS_Site_ID__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Access_Hours__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Asset_Supported_By__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Asset_Type__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Associated_Networks__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Backup_NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Backup_NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Backup_NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Backup_NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Barcode__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,CV_Site_ID__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Channel_ID__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Checkdigit__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Circuit_ID__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Courtesy_Warranty_End_Date__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Customer_Program__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Customer_Region__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Customer_Site_Id__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,DMN_Vendor_Name__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,DSS_Order_ID__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Data_Center__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Deregister_date__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Downlink_Cellid__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Downlink_Speed__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,ESRI_Latitude__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,ESRI_Longitude__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Extented_Trial_Period_Date__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,FAP_Plan_ID__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Failover_Hub__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Free_Dispatch_End_Date__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Gateway_Name__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,HAN_Config__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,HAN_Type__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,HDEVNAME__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,HNS_Level__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,HUB_Site_Id__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Home_AGW_Name__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Home_HUB_Id__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Hughes_Asset_ID__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,ISP_AGW_Name__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,ISP_HUB_Id__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Is_Self_Installed__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,LAN1_IP_Address__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,LAN1_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,LAN2_IP_Address__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,LAN2_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Latest_Commission_Date__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Latitude__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Longitude__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,MAC_Address__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Management_IP_Address__c,Value commented/not found in translation file.
Asset-es_EC.objectTranslation,Modem_Number__c,Value commented/not found in translation file.
