Translation File,API Name,Error
Asset-es_PE.objectTranslation,ACS_Site_ID__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Access_Hours__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Asset_Supported_By__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Asset_Type__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Associated_Networks__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Backup_NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Backup_NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Backup_NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Backup_NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Barcode__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,CV_Site_ID__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Channel_ID__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Checkdigit__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Circuit_ID__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Courtesy_Warranty_End_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Customer_Program__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Customer_Region__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Customer_Site_Id__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,DMN_Vendor_Name__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,DSS_Order_ID__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Data_Center__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Deregister_date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Downlink_Cellid__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Downlink_Speed__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,ESRI_Latitude__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,ESRI_Longitude__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Extented_Trial_Period_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,FAP_Plan_ID__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Failover_Hub__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Free_Dispatch_End_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,HAN_Config__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,HAN_Type__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,HDEVNAME__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,HNS_Level__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,HUB_Site_Id__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Home_AGW_Name__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Home_HUB_Id__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Hughes_Asset_ID__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,ISP_AGW_Name__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,ISP_HUB_Id__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Is_Self_Installed__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,LAN1_IP_Address__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,LAN1_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,LAN2_IP_Address__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,LAN2_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Latest_Commission_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Latitude__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Longitude__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,MAC_Address__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Management_IP_Address__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Modem_Number__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAD_Business_Group__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAP_Order_Number__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAP_PPP_Password__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAP_PPP_Username__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAP_WAN_Gateway_IP__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAP_WAN_IP__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAP_WAN_Protocol__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAP_WAN_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAT_IP__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NAT_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NOCC_Latitude__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NOCC_Longitude__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NPR_IP__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,NPR_Subnet_Mask__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,On_premise_Central_DB_ID__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Organization__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,PEP_Max_Downstream__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,PEP_Max_Upstream__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Payment_Code__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Primary_Hub__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Profile_Group__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Provider_SLA__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Register_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Relationship_Start_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Renewal_End_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,ST_Name__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,SWAP_Auth_Code__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Satellite__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Shipment_Carrier__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Shipment_Tracking_Number__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Site_Category__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Software_Version__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Status_Reason_Code_Change_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Status_Reason_Code_Description__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Status_Reason_Code__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,TOG__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Terminal_Activation_date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Transponder__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Unit_of_Measure__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Uplink_Cellid__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Uplink_Speed__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,VADB_Backup_Phone__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,VADB_Enable__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,VADB_Primary_Phone__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,VPGW__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Warranty_Commitment_Term_End_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Warranty_Effective_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Warranty_Expiry_Date__c,Value commented/not found in translation file.
Asset-es_PE.objectTranslation,Warranty_Vesting_Period_End_Date__c,Value commented/not found in translation file.
