Translation File,API Name,Error
Contact-es_AR.objectTranslation,CC_Email__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,CRM_PS_Person_BO_ID__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,Channel_Marketing__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,Contact_Priority__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,Description,API name not found in translation file.
Contact-es_AR.objectTranslation,DoNotCall,API name not found in translation file.
Contact-es_AR.objectTranslation,Extra_Mobile_Info__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,Extra_Other_Phone_Info__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,Extra_Phone_Info__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,HasOptedOutOfEmail,API name not found in translation file.
Contact-es_AR.objectTranslation,LeadSource,API name not found in translation file.
Contact-es_AR.objectTranslation,Mailing_Barcode__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,Mailing_County__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,Person_Type__c,Value commented/not found in translation file.
Contact-es_AR.objectTranslation,Pref_Communication__c,Value commented/not found in translation file.
