Translation File,API Name,Error
Contact-es_CL.objectTranslation,CC_Email__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,CRM_PS_Person_BO_ID__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,Channel_Marketing__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,Contact_Priority__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,Description,API name not found in translation file.
Contact-es_CL.objectTranslation,DoNotCall,API name not found in translation file.
Contact-es_CL.objectTranslation,Extra_Mobile_Info__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,Extra_Other_Phone_Info__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,Extra_Phone_Info__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,HasOptedOutOfEmail,API name not found in translation file.
Contact-es_CL.objectTranslation,LeadSource,API name not found in translation file.
Contact-es_CL.objectTranslation,Mailing_Barcode__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,Mailing_County__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,Person_Type__c,Value commented/not found in translation file.
Contact-es_CL.objectTranslation,Pref_Communication__c,Value commented/not found in translation file.
