Translation File,API Name,Error
Contact-es_EC.objectTranslation,CC_Email__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,CRM_PS_Person_BO_ID__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,Channel_Marketing__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,Contact_Priority__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,Description,API name not found in translation file.
Contact-es_EC.objectTranslation,DoNotCall,API name not found in translation file.
Contact-es_EC.objectTranslation,Extra_Mobile_Info__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,Extra_Other_Phone_Info__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,Extra_Phone_Info__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,HasOptedOutOfEmail,API name not found in translation file.
Contact-es_EC.objectTranslation,LeadSource,API name not found in translation file.
Contact-es_EC.objectTranslation,Mailing_Barcode__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,Mailing_County__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,Person_Type__c,Value commented/not found in translation file.
Contact-es_EC.objectTranslation,Pref_Communication__c,Value commented/not found in translation file.
