Translation File,API Name,Error
Contact-es_PE.objectTranslation,CC_Email__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,CRM_PS_Person_BO_ID__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,Channel_Marketing__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,Contact_Priority__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,Description,API name not found in translation file.
Contact-es_PE.objectTranslation,DoNotCall,API name not found in translation file.
Contact-es_PE.objectTranslation,Extra_Mobile_Info__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,Extra_Other_Phone_Info__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,Extra_Phone_Info__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,HasOptedOutOfEmail,API name not found in translation file.
Contact-es_PE.objectTranslation,LeadSource,API name not found in translation file.
Contact-es_PE.objectTranslation,Mailing_Barcode__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,Mailing_County__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,Person_Type__c,Value commented/not found in translation file.
Contact-es_PE.objectTranslation,Pref_Communication__c,Value commented/not found in translation file.
