Translation File,API Name,Error
Contact-pt_BR.objectTranslation,CC_Email__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,CRM_PS_Person_BO_ID__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Channel_Marketing__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Contact_Priority__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Description,API name not found in translation file.
Contact-pt_BR.objectTranslation,DoNotCall,API name not found in translation file.
Contact-pt_BR.objectTranslation,Extra_Fax__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Extra_Home_Phone_Info__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Extra_Mobile_Info__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Extra_Other_Phone_Info__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Extra_Phone_Info__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,HasOptedOutOfEmail,API name not found in translation file.
Contact-pt_BR.objectTranslation,LeadSource,API name not found in translation file.
Contact-pt_BR.objectTranslation,Mailing_Barcode__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Mailing_County__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Person_Type__c,Value commented/not found in translation file.
Contact-pt_BR.objectTranslation,Pref_Communication__c,Value commented/not found in translation file.
