Translation File,API Name,Error
AssetStatus-es_CL.standardValueSetTranslation,Purchased,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,Shipped,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,Installed,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,Registered,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,Obsolete,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,Not Yet Commissioned,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,Terminal Activated,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,De-registered,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,Pending Recovery,Value commented/not found in translation file.
AssetStatus-es_CL.standardValueSetTranslation,Recovered,Value commented/not found in translation file.
