Translation File,API Name,Error
AssetStatus-es_CO.standardValueSetTranslation,Purchased,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,Shipped,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,Installed,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,Registered,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,Obsolete,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,Not Yet Commissioned,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,Terminal Activated,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,De-registered,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,Pending Recovery,Value commented/not found in translation file.
AssetStatus-es_CO.standardValueSetTranslation,Recovered,Value commented/not found in translation file.
