Translation File,API Name,Error
AssetStatus-es_PE.standardValueSetTranslation,Purchased,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,Shipped,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,Installed,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,Registered,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,Obsolete,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,Not Yet Commissioned,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,Terminal Activated,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,De-registered,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,Pending Recovery,Value commented/not found in translation file.
AssetStatus-es_PE.standardValueSetTranslation,Recovered,Value commented/not found in translation file.
