Translation File,API Name,Error
CaseStatus-es_AR.standardValueSetTranslation,Assigned,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Awaiting SPR Code Release,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Build Out Released,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Complete,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Complete—Impact,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Complete—No issues,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Complete—Pending Quality Assurance,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Director Approved and Scheduled,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,EMRB Approved,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,ENG - SPR Active,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Escalated to SIC,API name not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Failed QA,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Hold—Awaiting Information,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Implementation Phase,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Installed,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Investigation Closed,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Investigation Open,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,MRB Approved,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open Escalated,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Escalated Field Terr Supp,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Escalated to Call Center,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Escalated to NAP Provisioning,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Escalated to NOC,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Escalated to PM,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Esc NE review,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Holding for Parts,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - In Progress,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - On Site,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - PAM Case,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Pending NE,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Pending Tech Review,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Provisioning Processing,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open PSR,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Special Escalation,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Suspension,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open Unassigned,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open - Web Case,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Open Work in Progress,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Cancel,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Construction,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending Customer Confirmation,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Customer Contact,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending Follow On Case,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Hughes Closure,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Install,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - MOD,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Monitoring,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - NAP,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending- OA,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending Post Install Provisioning,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Provisioning Group,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending Re-Activation,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Service Provider Closure,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Site Access,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pending - Vendor Meet,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Pend- NE Trblshoot,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Project Plan,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,Qualified,Value commented/not found in translation file.
CaseStatus-es_AR.standardValueSetTranslation,SPR Opened,Value commented/not found in translation file.
