Translation File,API Name,Error
CaseStatus-es_CO.standardValueSetTranslation,Assigned,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Awaiting SPR Code Release,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Build Out Released,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Complete,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Complete—Impact,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Complete—No issues,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Complete—Pending Quality Assurance,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Director Approved and Scheduled,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,EMRB Approved,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,ENG - SPR Active,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Escalated to SIC,API name not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Failed QA,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Hold—Awaiting Information,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Implementation Phase,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Installed,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Investigation Closed,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Investigation Open,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,MRB Approved,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open Escalated,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Escalated Field Terr Supp,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Escalated to Call Center,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Escalated to NAP Provisioning,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Escalated to NOC,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Escalated to PM,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Esc NE review,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Holding for Parts,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - In Progress,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - On Site,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - PAM Case,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Pending NE,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Pending Tech Review,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Provisioning Processing,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open PSR,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Special Escalation,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Suspension,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open Unassigned,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open - Web Case,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Open Work in Progress,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Cancel,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Construction,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending Customer Confirmation,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Customer Contact,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending Follow On Case,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Hughes Closure,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Install,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - MOD,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Monitoring,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - NAP,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending- OA,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending Post Install Provisioning,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Provisioning Group,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending Re-Activation,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Service Provider Closure,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Site Access,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pending - Vendor Meet,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Pend- NE Trblshoot,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Project Plan,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,Qualified,Value commented/not found in translation file.
CaseStatus-es_CO.standardValueSetTranslation,SPR Opened,Value commented/not found in translation file.
