Translation File,API Name,Error
CaseStatus-es_PE.standardValueSetTranslation,Assigned,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Awaiting SPR Code Release,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Build Out Released,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Complete,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Complete—Impact,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Complete—No issues,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Complete—Pending Quality Assurance,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Director Approved and Scheduled,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,EMRB Approved,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,ENG - SPR Active,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Escalated to SIC,API name not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Failed QA,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Hold—Awaiting Information,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Implementation Phase,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Installed,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Investigation Closed,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Investigation Open,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,MRB Approved,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open Escalated,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Escalated Field Terr Supp,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Escalated to Call Center,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Escalated to NAP Provisioning,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Escalated to NOC,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Escalated to PM,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Esc NE review,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Holding for Parts,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - In Progress,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - On Site,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - PAM Case,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Pending NE,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Pending Tech Review,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Provisioning Processing,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open PSR,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Special Escalation,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Suspension,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open Unassigned,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open - Web Case,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Open Work in Progress,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Cancel,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Construction,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending Customer Confirmation,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Customer Contact,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending Follow On Case,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Hughes Closure,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Install,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - MOD,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Monitoring,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - NAP,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending- OA,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending Post Install Provisioning,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Provisioning Group,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending Re-Activation,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Service Provider Closure,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Site Access,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pending - Vendor Meet,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Pend- NE Trblshoot,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Project Plan,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,Qualified,Value commented/not found in translation file.
CaseStatus-es_PE.standardValueSetTranslation,SPR Opened,Value commented/not found in translation file.
