Translation File,API Name,Error
CaseType-es_AR.standardValueSetTranslation,Distributor,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Dealer,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Hughes Direct Dealer,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Problem,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Feature Request,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Question,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,SP Truck Roll,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,NAP Truck Roll,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Set Up,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Education,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Approvals,Value commented/not found in translation file.
CaseType-es_AR.standardValueSetTranslation,Forms,Value commented/not found in translation file.
